chart_id,family,seed,opportunity,proposal_id,parent_id,anchor_time,anchor_beat,end_time,end_beat,lane,membership,action,rng_before,rng_after
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",1,"OP-00005405-LnInterior-S53-T8240-A8240",0c0598f7c40832fc0466305a4fea7814b84782ef4dc4385c32ff585830b59006,O00000053,8240,23,249599999999993800106666667,8666,24,499199999999993466880000001,4,NoObservedRelation,ABSTAIN,110,110
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005412-LnInterior-S181-T19064-A19064",488d516e4ff3a782fa94fbed1bb2cd92ffaa3a882c747c4d4f9689a8ca7399f8,O00000181,19064,54,999999999999985333333333333,19788,57,123733333333318100337777778,2,NoObservedRelation,ABSTAIN,283,283
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005425-LnInterior-S2003-T100029-A100029",037c9d2c34575c67831b17ba7ab8ac392dc9f4d892dc16e15fa8cfd1bde6b5bf,O00002003,100029,292,49733333333325533404444444,100114,292,74666666666658860088888888,3,NoObservedRelation,ABSTAIN,2462,2462
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005433-LnInterior-S2200-T112515-A112515",4c30a3a9eced22b4fafe997536c64da8cee92ec53f4aa2fe4bd4fd86334a46fb,O00002200,112515,329,12293333333324556721777778,114475,334,87226666666657736739555555,2,NoObservedRelation,ABSTAIN,2743,2743
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005439-LnInterior-S2240-T116862-A116862",8a15bcd55a518cda7c1551c49ef544ea263eb9d274ab60c3841f522f8fc41c15,O00002240,116862,341,87413333333324216689777778,116905,342,00026666666657546659555556,2,NoObservedRelation,ABSTAIN,2794,2794
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005444-LnInterior-S2505-T130711-A130711",99ad7f51cd8449cc55c828932dcfa90fe9a0f83487923ad26f74250e4123ef3b,O00002505,130711,382,49786666666656466723555556,131137,383,74746666666656433400888889,4,CandidateNotObserved,ABSTAIN,3141,3141
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005450-LnInterior-S2636-T138552-A138552",a9cee470c2877784532b58adda2c18f641ba7bfe68a26896e512d630fb8a8b7a,O00002636,138552,405,49813333333322520049777778,138666,405,83253333333322511132444446,4,CandidateNotObserved,ABSTAIN,3358,3358
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005452-LnInterior-S2686-T141620-A141620",55b0748b914eadc52688a0fa86d4dc982e29a049974cbfc08edd9f4cc216e9ab,O00002686,141620,414,49759999999988946730666667,141663,414,6237333333332227670044444,0,CandidateNotObserved,ABSTAIN,3442,3442
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005456-LnInterior-S2733-T144007-A144007",4f95212ae41910b139e770268c0c076b9d2522935a68f96d3554b5f20a9df0e6,O00002733,144007,421,49946666666655426680888889,144050,421,62559999999988756650666669,0,CandidateNotObserved,ABSTAIN,3512,3512
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005463-LnInterior-S2809-T148652-A148652",9c897a4c7e18b55be6f3bc88c2bf8e800055b0520c4e5891e414e4c00e90d244,O00002809,148652,435,12479999999988396672,148694,435,24799999999988393386666663,5,NoObservedRelation,ABSTAIN,3659,3659
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005465-LnInterior-S2837-T149120-A149120",8b03ed119da442cb2df968988c9920e8a231536ccf92c44053490451c7343bbb,O00002837,149120,436,49759999999988360064,149163,436,62373333333321690033777776,2,CandidateNotObserved,ABSTAIN,3678,3678
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005466-LnInterior-S2865-T150995-A150995",bf5ada2d9b5bec28fec8a4a82fdc0e079e86680b0e32c404e536fa3fb4c12238,O00002865,150995,441,99759999999988213397333333,151038,442,12373333333321543367111112,5,CandidateNotObserved,ABSTAIN,3732,3732
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005472-LnInterior-S3443-T178439-A178439",a4d6c27f7247478bc2491c1c4789afcf0f0ac97dadf3fe80392909b70c14a6bf,O00003443,178439,522,49999999999986066666666667,178950,523,99893333333319360028444443,2,CandidateNotObserved,ABSTAIN,4448,4448
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",2,"OP-00005477-LnInterior-S3468-T181166-A181166",be95a6d42e69dd611b30e532c659cf3c9af16238a3060617bc77d3350622eaca,O00003468,181166,530,49919999999985853354666667,181209,530,62533333333319183324444446,3,CandidateNotObserved,ABSTAIN,4480,4480
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005400-LnInterior-S11-T2189-A2189",ed0364174c2b8a7b782b6451dbdee3f365e172dba1a4731cfbb9964cfba1aa06,O00000011,2189,5,4999999999999985333333333333,2615,6,7495999999999982001066666663,3,CandidateNotObserved,ABSTAIN,28,28
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005401-LnInterior-S11-T2870-A2870",56a7f426012be15f8f668c19de81ec3ffaa107306bf8b0601d194d07f8f15424,O00000011,2870,7,49759999999999800064,3466,9,245866666666664201102222222,2,NoObservedRelation,ABSTAIN,36,36
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005403-LnInterior-S32-T5598-A5598",6e6548a070351a12d9a292b71a670a0c557f6cd0e07f15ba2faa61c2bd1a9c4b,O00000032,5598,15,499733333333329200071111111,6024,16,749333333333328866844444445,4,NoObservedRelation,ABSTAIN,72,72
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005405-LnInterior-S53-T8240-A8240",9a4da553225a1368d3f0e9bb4d587078eeb9b9b26140c0c11b2a636fafcd6a16,O00000053,8240,23,249599999999993800106666667,8325,23,498933333333327066951111111,6,NoObservedRelation,ABSTAIN,111,111
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005406-LnInterior-S74-T10541-A10541",1aa7c3f09bd875cd0cd4ab6b5d362e7dd26554602be9ade80df526104909ee1b,O00000074,10541,29,999199999999992000213333333,10967,31,248799999999991666986666666,6,NoObservedRelation,ABSTAIN,143,143
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005408-LnInterior-S108-T13098-A13098",1526a83c94770a5c9018af9badfede0d42a0336b19148b54e45705f47b593e05,O00000108,13098,37,499733333333323333404444444,13183,37,749066666666656600248888888,5,CandidateNotObserved,ABSTAIN,187,187
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005415-LnInterior-S221-T20981-A20981",9408fcd6c465666a841246293c454dce826b03bb87aee5f436b8c154930ce189,O00000221,20981,60,623199999999983833813333333,21023,60,74639999999998380096000000,2,NoObservedRelation,ABSTAIN,333,333
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005430-LnInterior-S2197-T111109-A111109",7578dc07b1fd1375541d01d04ad3eca5f125ef62be1a63a19628f744b3538416,O00002197,111109,324,99866666666658000035555556,111152,325,12479999999991330005333334,4,NoObservedRelation,ABSTAIN,2747,2747
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005441-LnInterior-S2334-T123041-A123041",5e16cccdbd9be472e88654eefeaef550d08f76cf1dc4b97c9f2fc3d6cd7898b3,O00002334,123041,359,99919999999990400021333333,123126,360,24853333333323726705777778,1,NoObservedRelation,ABSTAIN,2967,2967
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005444-LnInterior-S2505-T130711-A130711",99ad7f51cd8449cc55c828932dcfa90fe9a0f83487923ad26f74250e4123ef3b,O00002505,130711,382,49786666666656466723555556,131137,383,74746666666656433400888889,4,CandidateNotObserved,ABSTAIN,3152,3152
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005449-LnInterior-S2611-T136762-A136762",295dc2dada1913289a52818c114faafae81a6d2be1982ccd2e46ac7c4158bf9d,O00002611,136762,400,24746666666655993400888889,136804,400,37066666666655990115555558,1,NoObservedRelation,ABSTAIN,3305,3305
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005452-LnInterior-S2686-T141620-A141620",55b0748b914eadc52688a0fa86d4dc982e29a049974cbfc08edd9f4cc216e9ab,O00002686,141620,414,49759999999988946730666667,141663,414,6237333333332227670044444,1,CandidateNotObserved,ABSTAIN,3447,3447
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005456-LnInterior-S2733-T144007-A144007",c442b9c04ad5feab8c3a8bb99019753c00b7bc2e55e4a54d504a24ebbba4bc9f,O00002733,144007,421,49946666666655426680888889,144049,421,62266666666655423395555557,4,CandidateNotObserved,ABSTAIN,3519,3519
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005461-LnInterior-S2784-T147416-A147416",9bdd828a3c58431d10e2dbc2f41098344d7f49dc3689e7fe8d83accb352f0f90,O00002784,147416,431,49919999999988493354666667,147459,431,6253333333332182332444444,6,CandidateNotObserved,ABSTAIN,3621,3621
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005462-LnInterior-S2809-T148779-A148779",c97f192366b4d58fb413e108c723dafed9eaf3e3f9e17613467efd19d0ecdffe,O00002809,148779,435,49733333333321720071111111,148822,435,62346666666655050040888884,0,NoObservedRelation,ABSTAIN,3670,3670
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005467-LnInterior-S2865-T151336-A151336",ecd984f092ddad1c863e3403161adb17521ba61cdb93f2804e4963db85471810,O00002865,151336,442,99786666666654853390222222,151379,443,12399999999988183360000003,5,CandidateNotObserved,ABSTAIN,3745,3745
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",3,"OP-00005470-LnInterior-S2956-T157089-A157089",0b7f4d6c5cc9fa37d30ee721ae598b5e772ba7d8e60502e0509690371b27e12e,O00002956,157089,459,87333333333321070044444444,157131,459,99653333333321066759111107,6,NoObservedRelation,ABSTAIN,3854,3854
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005400-LnInterior-S11-T2189-A2189",ed0364174c2b8a7b782b6451dbdee3f365e172dba1a4731cfbb9964cfba1aa06,O00000011,2189,5,4999999999999985333333333333,2615,6,7495999999999982001066666663,4,CandidateNotObserved,ABSTAIN,23,23
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005402-LnInterior-S32-T4916-A4916",2453f9d1bca918992e0b3090898d381913e6f0a90fa339911759f9339a91d398,O00000032,4916,13,499199999999996400213333333,5342,14,748799999999996066986666666,0,CandidateNotObserved,ABSTAIN,59,59
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005404-LnInterior-S53-T7643-A7643",9e973133a78a1a5ae633d16007a64c232ff0aa7439a82f83330f9178f4b55728,O00000053,7643,21,498399999999994267093333333,7728,21,747733333333327533937777777,3,CandidateNotObserved,ABSTAIN,91,91
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005405-LnInterior-S53-T8240-A8240",9a4da553225a1368d3f0e9bb4d587078eeb9b9b26140c0c11b2a636fafcd6a16,O00000053,8240,23,249599999999993800106666667,8325,23,498933333333327066951111111,0,NoObservedRelation,ABSTAIN,98,98
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005407-LnInterior-S74-T10882-A10882",fe3f0db89ba015e993ae6ea29b5b6433b9611eea01613cc77dde14915f53752d,O00000074,10882,30,999466666666658400142222222,10967,31,248799999999991666986666666,6,NoObservedRelation,ABSTAIN,134,134
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005409-LnInterior-S108-T13609-A13609",551f81500a7d207740a67f5742d31efa58bfc258651144bc39775853af38a80f,O00000108,13609,38,998666666666656267022222222,14035,40,248266666666655933795555556,4,NoObservedRelation,ABSTAIN,179,179
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005413-LnInterior-S181-T18723-A18723",cbbcf3312f7b338908faf739d24fde8d695fb813023b9ae8f4f73cad3945a81b,O00000181,18723,53,999733333333318933404444444,19064,54,999999999999985333333333333,5,CandidateObservedUnique,ADMIT,275,275
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005412-LnInterior-S181-T19064-A19064",f324b02e1b079c3be1aad560b445e51b8955dfcfbb5426425322002b522adaeb,O00000181,19064,54,999999999999985333333333333,19320,55,750933333333318466417777779,2,NoObservedRelation,ABSTAIN,280,280
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005415-LnInterior-S221-T20981-A20981",94857d28a4aa18445a90e51dc8d4e8796db82fb7677beba410389350a8838343,O00000221,20981,60,623199999999983833813333333,21024,60,74933333333331713351111111,5,NoObservedRelation,ABSTAIN,325,325
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005414-LnInterior-S221-T21279-A21279",51362d67d4756826ab8b678a016a31defa9766c68f7a89e5627d340f785878f1,O00000221,21279,61,497333333333316934044444444,21322,61,623466666666650233742222221,3,CandidateNotObserved,ABSTAIN,340,340
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005425-LnInterior-S2003-T100029-A100029",037c9d2c34575c67831b17ba7ab8ac392dc9f4d892dc16e15fa8cfd1bde6b5bf,O00002003,100029,292,49733333333325533404444444,100114,292,74666666666658860088888888,3,NoObservedRelation,ABSTAIN,2490,2490
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005427-LnInterior-S2050-T102927-A102927",45e14fcc0311a4791654d60d9bdaf27e4c7a84fc6296dd76853663a60b931ecf,O00002050,102927,300,99813333333325306716444444,102969,301,12133333333325303431111110,4,NoObservedRelation,ABSTAIN,2558,2558
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005431-LnInterior-S2197-T111791-A111791",a9bcc71e30783cbf5595fc5814729a026dcb0c2b21baa47d1358ad80267cb2ba,O00002197,111791,326,99919999999991280021333333,114092,333,74879999999991100031999999,4,NoObservedRelation,ABSTAIN,2753,2753
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005433-LnInterior-S2200-T112515-A112515",42a24cae537776fd8d31b345aaeb814cba5adbdb107cd1b8c2773d4f74c82c7c,O00002200,112515,329,12293333333324556721777778,113197,331,12346666666657836707555556,2,NoObservedRelation,ABSTAIN,2762,2762
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005435-LnInterior-S2219-T114518-A114518",65d34fa7a162293db0724847d134faeb6a926d4c07ea72a0d5bf6edf454942de,O00002219,114518,334,99839999999991066709333333,114560,335,12159999999991063424000000,2,NoObservedRelation,ABSTAIN,2786,2786
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005447-LnInterior-S2539-T134632-A134632",5dd33cb58f3b874bacd1c73f03627995a10245f37899e77b4d87831fd093431f,O00002539,134632,393,99946666666656160014222222,134674,394,12266666666656156728888888,5,CandidateNotObserved,ABSTAIN,3249,3249
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005448-LnInterior-S2611-T137359-A137359",6d2500121c14e1d19d3a32dc291d9bb98042cc3b788d4054170c61487b419067,O00002611,137359,401,99866666666655946702222222,137402,402,12479999999989276671999998,2,CandidateNotObserved,ABSTAIN,3324,3324
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005451-LnInterior-S2636-T138211-A138211",5c5db50821df58bdce3b91f853a4df5bd9279890bd5742f79beaabe403178208,O00002636,138211,404,49786666666655880056888889,138253,404,62106666666655876771555556,4,NoObservedRelation,ABSTAIN,3351,3351
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005450-LnInterior-S2636-T138552-A138552",0d8ed8e142b3e05838f816100eadf476ea2d44dff66b530d5e26dcb760b2f958,O00002636,138552,405,49813333333322520049777778,138595,405,62426666666655850019555558,1,CandidateNotObserved,ABSTAIN,3362,3362
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005457-LnInterior-S2733-T143666-A143666",0854cc08f5a4ce776313164873d73dcdb854ca415bf9a441cef79e32204d6b22,O00002733,143666,420,49919999999988786688,143709,420,62533333333322116657777777,4,CandidateNotObserved,ABSTAIN,3510,3510
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005459-LnInterior-S2760-T145370-A145370",49701d0d99f7183f87cf9cfae35a00b630e11b259a9e5cbd0a2d684ad0d88fc5,O00002760,145370,425,49759999999988653397333333,145412,425,62079999999988650112000001,6,CandidateNotObserved,ABSTAIN,3557,3557
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005463-LnInterior-S2809-T148652-A148652",9c897a4c7e18b55be6f3bc88c2bf8e800055b0520c4e5891e414e4c00e90d244,O00002809,148652,435,12479999999988396672,148694,435,24799999999988393386666663,5,NoObservedRelation,ABSTAIN,3662,3662
02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,"NOWISEE | KO INU | RUKA",4,"OP-00005462-LnInterior-S2809-T148779-A148779",6d6c0c528b1b57da62c2f800ad23eaf7fdf68e108e6f23a856c0f644683f5069,O00002809,148779,435,49733333333321720071111111,148821,435,62053333333321716785777773,2,NoObservedRelation,ABSTAIN,3671,3671
